word,frequency
абажур,2
аббатство,1
аварийный,3
августовский,1
авиаконструктор,1
австрийский,4
автозавод,1
автозаправочный,1
автомастерская,2
автоматизация,2
автомобилист,5
автомобильчик,4
автопогрузчик,3
автопортрет,1
автопробег,1
авторемонтный,1
авторитетный,1
автослесарь,3
автофургон,1
агония,1
административный,1
адмирал,1
адмиралтейский,1
адмиралтейство,2
адресный,1
адресок,1
адышкома,2
азиатский,1
азовский,2
аир,1
аистих,2
аистихий,1
академический,1
аква,1
аквапарк,4
аквариумный,4
акелый,1
аккумулятор,1
аккуратненький,1
аккуратность,5
акрил,1
акриловый,1
актинидия,1
актуально,1
акулий,1
акустический,1
акцент,1
акция,1
александрыч,5
алеш,1
алешковский,1
алкоголь,2
алкогольный,1
аллергия,5
аллозавр,2
аллюр,2
алтаец,1
алтайский,2
алтарь,2
алчность,1
альбатрос,1
ампулярия,1
амстела,1
амфибия,2
анализба,1
аналог,1
аналогично,4
аналогия,1
анатом,1
анатомия,2
анаш,1
ангельский,1
андромеда,2
анемометр,1
анималист,1
анин,1
антарктический,1
антибиотик,1
антивирусный,4
античность,1
античный,2
апельсиновый,8
апендикокс,2
апорт,3
апостол,1
аппаратура,1
аппетитно,1
аппликационный,1
апрельский,3
апчхи,1
арагонский,2
аранжировать,1
арен,1
армянский,2
ароматизированный,1
арочный,2
арпеджио,2
арт,1
архар,3
архаров,1
архиватор,1
архивация,1
архимед,1
аршин,7
асл,1
асс,1
ассортимент,1
астраханский,1
астролябия,1
асфальтировать,2
ата,2
атаман,16
атласный,1
атом,7
атомоход,2
аттестат,1
аудио,3
аудиокассета,1
аудиоплеер,1
аудиосистема,2
аудитория,1
аук,1
афинянин,1
ахмедшина,2
ахнет,1
ахти,1
аэропланчик,7
аэрофотосъемка,1
бабахнуть,1
бабочкин,1
бавитя,1
багажник,1
багажный,1
багрянец,1
бадья,1
базальт,5
базарный,2
байдарочный,3
байков,1
байковый,1
бакчарский,1
балансировать,1
балда,32
балдушка,2
балканский,1
балкарец,1
баллада,3
баллончик,3
балочный,1
балта,2
бамбук,3
банкир,1
банковый,5
барабай,1
барахло,1
барашковый,1
баргузинский,1
баренцев,1
баритон,1
баркас,2
бармы,1
барсикома,2
бартер,3
баскетболист,1
баснописец,2
басовито,1
баста,1
баталия,1
батончик,5
батрацкий,1
баттерфляй,2
батька,4
бахвальство,1
бахнуть,1
бахревский,1
бахча,3
бахчевый,1
бачить,2
башкирский,1
башлык,3
башмачище,1
башмачник,1
баштан,8
баянистка,1
баять,2
бвата,1
беганье,1
бегло,2
беговой,1
бегония,1
бегунок,4
беднеть,1
бедняжечка,1
бедняцкий,1
бедство,1
бежаться,1
безбоязненно,1
безвестный,1
безветренный,3
безвозвратно,2
безволосый,2
безвольный,3
безвредный,2
бездействие,1
безделица,2
бездетный,1
бездна,3
бездомный,8
бездушный,1
безжалостно,1
безжалостный,2
беззаботность,2
беззаконие,1
беззащитно,1
беззвездный,1
беззвучно,1
беззвучный,1
безлистный,4
безлошадный,1
безлюдно,1
безлюдье,1
безмолвный,2
безмятежно,1
безмятежный,2
безнадежно,2
безнадежный,1
безнаказанно,2
безобраз,1
безобразничать,1
безостановочно,1
безответный,1
безотрывный,1
безотчетный,1
безошибочный,2
безрадостный,1
безропотно,1
безропотный,1
безумие,4
безусый,1
белесоватый,1
белешенький,1
белила,6
белкть,1
белобородый,1
белобрысый,1
беловолосый,1
белокорый,1
белокрылый,1
белокрыльник,2
белокурый,1
белолицый,1
белолобый,2
беломошник,1
белорозовый,1
белоствольный,3
белуга,2
белуха,1
бельвю,1
бельевой,1
бельмо,1
беляш,2
бемоль,2
бенилюкс,5
беранж,1
берданка,1
берегиня,1
березнячок,1
берендей,7
берестть,1
береча,2
бес,14
беседочница,2
бесенок,11
бескозырка,1
бескормица,1
бесноваться,1
беспечность,1
беспощадно,1
беспощадный,1
беспредельный,2
беспризорник,1
беспримерный,1
беспричинно,1
бесс,1
бессловесный,1
бессменный,1
бессмертие,1
бессмысленный,1
бессознательно,2
бесстыдно,1
бестия,1
бесформенный,1
бесхитростно,1
бесценок,1
бесшерстный,2
бесшерстый,2
бетонный,4
бзыга,2
библио,1
библиотекарша,1
библиотечка,6
биза,1
билибина,2
биллион,1
бильбоке,2
биогеохимия,1
бионика,1
бирка,1
бирюза,10
бис,1
бисерина,1
бисероплетение,4
бисквит,1
битком,2
битье,1
битюг,1
бйос,1
бйсера,1
благовещенский,1
благоговейный,1
благоговение,1
благоговеть,3
благодарственный,1
благодаяние,1
благодетель,1
благородно,1
благородство,1
благосклонно,1
благословенный,1
благоустраивать,1
благоустройство,1
блаженство,2
блат,2
бледнеть,1
блекнуть,1
близенек,1
близлежащий,1
близнец,2
близость,4
блик,3
бликовка,4
блиндаж,2
блицтурнир,19
блуждать,1
блука,2
блюдать,1
блюз,1
бобовый,4
бобровый,3
бобырь,2
богатеть,2
богоматерь,3
богородицын,1
богородский,7
богослужение,2
бодать,2
боднуть,5
бодрить,2
божественный,1
божков,1
бока,2
бокастый,1
бокра,1
бокренок,1
боксер,4
болван,3
болгарский,1
болезненный,4
болезнетворный,9
болист,1
болотце,1
болтливость,1
большевик,9
большеносый,1
бомба,7
бор,3
бордовый,1
боровичок,1
бородочка,3
бороздить,1
борона,2
бортик,1
бортничество,1
борть,2
босый,1
ботик,1
ботфорт,1
боцман,1
боязнь,1
боярский,4
боярышник,1
брада,1
бражничать,1
бразилец,1
брак,1
браковать,3
браковщик,4
браконьер,1
бранденбургский,1
брань,1
братов,1
браузер,5
брацкий,1
бревнышко,1
бредовый,1
брезгливый,2
брезжить,1
брелок,6
бренчать,2
бретелька,1
брехать,5
брехун,6
бригантина,2
брильянт,1
бримазенки,2
бримазище,2
британский,1
брод,3
бродяжка,2
брожение,1
бронепоезд,4
бронза,3
бронх,2
броса,1
броский,1
брумма,23
брус,2
брусничина,1
брызгало,2
брызгаться,2
брыкун,2
брыла,1
брынза,2
брысь,2
брюк,1
брюхатый,1
брякнуть,1
брянский,1
бубнить,1
бувайте,2
буд,9
будилися,1
будланула,1
буек,1
бузина,2
буйно,1
букатин,8
буквенноцифров,1
буквоед,2
букетик,3
букингемский,1
буковка,1
буковый,1
булавочка,3
бултых,1
бульварный,1
бульдозер,5
бумагокручение,2
бунт,2
бунтовать,3
бурак,1
бурелом,1
буржуй,1
бурливый,4
буровая,1
бурум,5
бурят,1
бутявка,8
буфер,8
бух,3
бухгалтер,1
бухнуть,5
бухта,2
былой,3
быстродействие,1
быстродействующий,1
быстрокрылый,1
быстроногий,1
быстроходный,2
бятый,2
ваа,1
вавилонский,6
валериан,1
валко,1
валун,2
валять,1
валяюся,1
ванильный,1
ванин,1
ванька,2
варвар,4
варварский,1
вареек,1
варьироваться,1
варяг,5
васк,2
васюганский,2
васютин,2
васятка,1
ватка,2
ватник,1
ватрушечка,1
вахта,1
вахтенный,1
ваять,1
вбирать,3
введение,4
ввезти,1
ввек,1
ввернуться,1
ввинчивать,1
ввыть,2
ввязаться,1
вглубь,2
вдавливание,4
вдавливаться,1
вдвойне,2
вдовица,1
вдумчиво,1
вдыхать,4
вег,1
ведрышко,1
веерообразный,2
вежа,1
вексель,1
веление,1
велеса,1
великанский,2
велич,1
величавость,3
величание,2
величественно,3
вельветовый,1
венгунг,3
венка,2
венный,1
венский,1
вентиль,2
вентилятор,2
венчание,1
венчать,1
верба,6
вербный,2
вербочка,1
вереск,2
вернисаж,9
вероника,1
вероятный,1
вертишейка,2
вертолетный,1
вертушйнка,1
вертячка,1
верфь,5
веснянка,2
вестменхег,7
ветвиться,2
ветвление,12
ветеринарный,1
ветеръ,1
ветла,1
ветошь,3
ветренный,2
ветрило,2
ветрище,1
ветролета,1
вехать,1
вечерочек,1
вечерять,2
вечность,2
вжаться,1
взаимообсуждение,1
взаиморасположение,1
взапуски,1
взашея,1
взбалтывать,1
взбежать,2
взвесь,1
взволнованно,2
взволнованность,1
взвть,1
взглядывать,1
вздорить,1
вздребезднуться,1
вздрогнулъ,1
вздуриться,3
вздуть,2
взлетный,1
взломщик,1
взмах,4
взметать,1
взметнуть,1
взметнуться,7
взмывать,2
взошлый,2
взращивать,1
взрываться,1
взрывной,1
взрывчатый,1
взывать,3
взыграть,1
взыскаться,1
взялася,1
виадук,1
вибрисса,1
виват,3
виватный,1
виваться,1
видео,3
видеоадаптер,1
видеодиск,3
видеозапись,1
видеоинформация,2
видеокассета,1
видеомонитор,1
видеоплата,1
видеоплеер,1
видеопроигрыватель,1
видеосвязь,1
видеофайл,1
видоизменить,1
видоизменяться,1
вижение,1
визуальный,1
винить,3
вираж,1
вирнус,1
виртуальный,2
виртуозный,1
вирус,18
вирусный,3
виселый,1
вискоза,1
висок,1
вита,1
витеза,1
витина,13
виу,2
виш,1
вкинуть,1
вкладывание,1
включительно,1
вколачивать,1
вкрасться,1
вкруг,5
вкрутую,1
влаго,1
владивостокец,1
владимирец,1
владимирок,1
владычица,7
властвовать,1
властитель,2
властный,1
влечь,1
влиятельный,1
вломиться,1
влять,1
вместительный,3
вместить,1
вмр,1
внахлест,4
внеклассный,1
внетабличный,2
внимать,2
вноситься,1
внученька,3
внятный,1
вобрать,2
вовлекать,1
водворить,1
водобоязнь,2
водоворот,1
водокрас,1
водомер,1
водопой,2
водопроводчик,1
водород,2
водоснабжение,1
водрузить,1
воевода,4
военнослужащий,1
вожак,14
вождение,1
вождь,3
возбудитель,3
возбудить,2
возбуждать,3
возведение,1
возводиться,2
возвращалисить,1
возглавить,2
возглавлять,1
возглашать,2
возделать,2
воздушно,1
возложить,2
вознаграждение,2
вознести,1
вознестись,2
возница,1
возносить,1
возобновить,1
возобновление,1
возопить,1
возрасти,3
возрождение,1
возчик,8
войт,1
вокальный,4
вокзальный,2
волдырь,2
волита,4
волнорез,1
вологодский,1
володушка,1
волоком,2
волосатый,1
волосискать,1
волостной,1
волочь,2
волчиха,1
волшебство,1
вонзиться,2
вонь,1
воплощаться,1
воплощение,6
вопросить,1
вопрошать,4
воробьенок,1
воровато,1
воровской,1
воронежский,1
воронов,4
ворот,1
ворох,5
воскреснуть,1
воспаление,2
воспалить,1
воспеваться,3
восполнить,1
восполнять,1
воспроизведение,1
воспроизвести,3
восседать,2
воссоздать,2
восстановиться,1
восстановление,2
восстать,3
восторженно,2
восхваление,1
восхвалять,2
восхитительный,1
восхитить,4
восхищать,4
восьмиграть,1
восьмиместный,1
восьмичасовой,2
восьмиэтажный,1
воться,1
воцариться,2
вперемежку,1
впиваться,3
вплотную,3
вползать,1
вполоборота,1
вполпьяна,1
вправе,2
вправить,2
впредь,3
вприскочку,1
впросак,1
впрыскивать,1
впрямь,1
впятеро,1
враженка,1
вразброд,1
врана,1
врачевание,1
вредность,1
вредоносный,4
временить,1
временный,2
времич,1
врубаться,2
врубель,2
врубиться,1
вручаться,1
всадить,1
всасываться,3
всевышний,1
всемирно,1
всепеть,1
всерьез,3
всколыхаться,1
всколыхнуться,1
вскорости,1
вскрикивать,2
вслепую,1
вспахать,11
вспашка,1
всплеск,1
всплескивать,2
всплывать,5
вспугнуть,1
вспылить,1
вспыльчивый,3
вставиться,1
вство,2
встраивать,1
встраиваться,2
встряхиваться,1
встряхнуть,2
встряхнуться,1
вступительный,1
вступиться,1
встык,1
всуе,1
всь,1
всяк,5
всячески,1
втайне,1
втаптываться,1
втиснуть,1
втолкать,1
вторгаться,1
втягиваться,2
втянуться,1
вуалехвост,1
вургун,1
входящий,13
вцепляться,1
вчетвером,1
въездной,1
въесться,2
выбелить,1
выборный,1
выборочно,2
выборы,8
выбраниться,1
выбрызгивать,1
вываливаться,1
выведение,3
вывешивать,1
выводок,1
выгибать,3
выгнутый,2
выгнуться,1
выгода,2
выгораживать,1
выгорать,1
выгореть,1
выда,2
выдалбливать,2
выдача,3
выдвигать,6
выдвижение,1
выдвижной,4
выдвинуть,2
выделитель,2
выделиться,4
выдолбить,3
выдохнуть,1
выдра,20
выдть,1
выдувать,3
выдыхание,1
выдь,3
выедать,1
выемка,3
выесть,1
выждать,2
выженить,2
выжечь,2
выжигать,1
выжидать,2
выигрыш,2
