word,frequency
абажур,9
абзац,31
абонент,5
абрикос,7
абсолютно,3
абсолютный,1
абсцисса,14
абу,2
абхазский,1
ава,1
аварец,6
авария,7
августейший,1
августовский,2
аверс,2
авессать,1
авиабомба,2
авиадиспетчер,1
авиакасса,1
авиаконструктор,2
авиалайнер,1
авианосец,1
авиаразведка,2
авиационный,8
авиация,5
авось,5
авоська,1
авсва,1
австралиец,1
австралийский,3
австриец,1
автобус,175
автобусный,8
автовокзал,2
автогонщик,1
автозавод,1
автозаправка,1
автозаправочный,4
автомат,87
автоматизированный,2
автоматизировать,2
автоматизироваться,1
автоматически,18
автоматический,36
автоматчик,1
автомашина,8
автомобилист,6
автомобиль,179
автомобильный,11
автономный,6
автопарк,1
автопилот,1
автопогрузчик,3
автопортрет,3
автопробег,1
автор,140
авторалли,1
авторитет,6
авторитетный,3
авторский,2
авторучка,6
автостанция,1
автостоянка,2
автотурист,2
автофургон,4
автоцистерна,2
ага,16
агат,1
агент,1
агентство,1
агитация,1
агония,1
агрессия,1
агро,1
агроном,12
агрономия,2
агротехник,1
агрофирма,1
административный,5
адмирал,7
адмиралтейский,1
адмиралтейство,8
адрагантовый,1
адрес,96
адресант,1
адресат,14
адресный,2
адресовать,2
адресоваться,1
адский,2
адъютант,1
адыгеец,2
аерный,1
ажурность,1
ажурный,12
азарт,7
азартно,1
азартный,2
азбука,26
азбучный,1
азиатский,3
азимут,3
азлга,1
азовский,15
азот,1
азя,1
аил,5
аист,8
айда,4
айсберг,9
ака,2
академик,2
академия,17
акафист,1
акация,1
акварель,8
акварельный,2
аквариум,24
аккурат,2
аккуратно,60
аккуратность,5
аккуратный,16
акриловый,2
акробат,4
акробатический,3
акрополь,15
аксессуар,9
актер,19
активировать,1
активно,13
активность,1
активный,6
актовый,6
актуальность,1
актуальный,1
акула,13
акуль,1
акцептировать,1
акын,1
ала,3
алай,3
алгебра,4
алгебраически,4
алгебраический,7
алго,2
алгоритм,606
алгоритмический,2
алейкюм,1
александровский,2
аленка,3
алеть,2
алешея,3
али,16
алигьерь,1
алиса,1
алкоголь,5
алла,2
аллах,5
аллегория,1
аллейка,1
аллерген,1
аллергический,1
аллергия,6
аллея,30
алмаз,17
алмазный,4
алом,1
алтаец,3
алтарный,1
алтарь,11
алтын,1
алфавит,34
алфавитный,11
алчный,1
алый,11
алым,2
аль,3
альбатрос,6
альбом,50
альбомный,2
альмандин,1
альпийский,3
альпинист,9
альпинистский,1
альт,1
альфа,1
алюминиевый,7
алюминий,1
ама,7
амазонка,3
аматераса,1
амбар,16
амбразура,2
америк,1
американец,12
американский,16
аметист,2
амперсанд,1
амт,2
амулет,4
амур,4
амурский,3
амфитеатр,1
амфора,6
анадырский,1
анаконда,1
анализ,41
анализировать,15
аналогично,6
аналогичный,4
аналоговый,5
ананас,7
ананасовый,4
анархист,1
ангар,3
ангел,22
ангела,1
ангельский,2
ангеля,1
ангина,1
английски,1
английский,40
англичанин,10
андреевский,1
ани,1
анилин,1
анимационный,2
анимация,9
анимироваться,1
анкетирование,4
аннотация,1
ансамбль,9
антарктический,1
антенна,7
антивирус,1
антилопа,4
антимония,2
антипатия,1
антоним,29
антоновка,1
антракт,1
антрацит,3
антресоль,3
анфилада,1
анчар,5
анютин,1
апатит,3
апельсин,41
апельсинный,1
апельсиновый,4
аплодисменты,1
апорт,1
апостол,12
аппарат,28
аппаратура,2
аппетит,11
аппликативный,1
аппликация,32
апрельский,3
аптека,9
аптекарский,3
аптекарь,1
аптечка,4
араб,3
арабеска,2
арабский,11
арап,1
арапов,3
арапчонок,6
арба,3
арбуз,37
арбузик,1
аргумент,1
арена,3
арестантский,1
арестовать,1
арзерум,3
арзиньянский,1
ариель,2
аристократ,1
аристократия,1
аристофан,2
ариф,1
арифметик,4
арифметика,14
арифметически,3
арифметический,89
арифмометр,6
арка,16
аркан,1
арктический,60
арлекин,1
армейский,2
армия,98
армянин,1
армянский,3
арнерь,1
арно,1
аромат,18
ароматный,7
арочки,1
артачиться,1
артезианский,1
артель,3
артельный,1
артемиа,2
артериальный,1
артикул,1
артиллерийски,2
артиллерийский,23
артиллерист,20
артиллерия,13
артист,20
артистизм,1
артогонь,1
артошка,3
артполк,1
арфа,2
арх,1
архаз,4
архангел,1
архангельский,4
архео,2
археолог,34
археологический,8
археология,21
архерей,1
архив,25
архипелаг,1
архирей,1
архитектор,9
архитектура,36
архитектурный,13
арциховский,1
аршин,5
арыня,1
асадов,1
асна,1
аспирин,2
ассамблея,8
ассоциироваться,1
астероид,11
астр,10
астраханский,9
астрон,2
астронавт,2
астроном,27
астрономический,3
астрономия,15
асфальт,13
асфальтировать,1
асцелла,2
ась,2
ата,2
атака,23
атаковать,12
атаман,4
ателье,10
атлант,1
атлантический,22
атлас,38
атласный,5
атлет,1
атлетика,1
атмосфера,10
атомный,14
атомоход,2
атро,1
аттракцион,2
ать,9
атюшка,2
аудио,2
аудиозапись,5
аудиокнига,2
аудиомагнитофон,1
аудиоролик,1
аудиохрестоматия,2
аудитория,1
аукцион,1
аул,4
афалина,4
афинский,2
афиша,2
африканский,15
ахавзь,5
ахать,2
ахиллесов,1
ахмес,1
ахнет,1
ахнуть,12
ахулить,1
ахунбаевский,1
ацтекский,1
ашик,1
ашуг,1
аэровокзал,1
аэродром,6
аэронавигационный,1
аэроплан,1
аэропорт,12
аэросани,6
аэростат,1
аяк,1
баба,24
бабанить,2
бабаня,1
бабий,8
бабка,6
бабочка,78
бабуся,1
бабушка,462
бабушкин,16
багаж,11
багажник,1
багажный,4
багор,3
багрить,1
багроветь,1
багровый,11
багряно,2
багряный,9
багульник,3
бадья,3
база,33
базар,27
базарный,1
базовый,3
байдарка,11
байкал,1
байкальский,6
байков,1
байковый,1
бак,20
бакалейный,2
бакен,2
бакенбарда,3
бакенщик,2
баклан,3
бакланов,1
баклуша,3
бактерицидный,2
бактерия,48
бакша,1
бал,10
балаган,2
балаганчик,1
балагур,2
балакейный,1
балалаечник,1
балалайка,2
балансировать,1
балахонский,1
балда,4
балдахин,3
балерина,2
балет,9
балетный,1
балка,22
балкарец,4
балкон,20
балконный,1
балкончик,1
баллистический,1
балов,1
баловать,14
баловаться,4
баловник,1
баловница,1
баловство,1
балтийский,18
бамбук,3
бамбуковый,4
банан,13
банановый,1
бандар,1
бандерлог,1
бандероль,2
банди,4
бандит,2
бандурист,1
банк,113
банка,53
банкнот,2
банковский,2
банник,1
баночка,11
бант,4
бантик,6
банька,8
баня,28
баобаб,18
баобабовый,4
бар,7
барабан,15
барабанить,9
барабанный,3
барабанчик,2
барабанщик,5
барак,2
баран,7
баранина,1
баранка,3
баранов,1
барахтаться,2
барашек,48
барашковый,2
барбарис,2
барбос,8
барбоска,3
баргузинский,1
барельеф,10
баренцев,4
баржа,25
барин,30
барк,1
барка,3
бармаглот,3
барометр,1
барон,7
барочный,1
барс,2
барсикома,2
барский,2
барсук,7
барсучий,1
барсучонок,1
бартон,6
бартонуть,1
бархан,8
бархат,3
бархатистый,2
бархатный,8
бархатцы,8
барчук,3
барщина,3
барыня,29
барышня,3
барьер,3
барьерный,6
бас,8
басистый,1
баск,2
баскак,1
баскетбол,1
баскетбольный,2
басня,11
басовый,3
басон,1
бассейн,57
басурман,3
баталист,1
батальный,3
батальон,18
батареец,9
батарейка,9
батарейный,1
батарейский,6
батарея,95
батистовый,2
батон,15
батончик,4
баттерфилд,1
батум,2
батыев,2
батюшка,20
батюшко,2
бах,1
бахрома,8
бахча,1
бац,4
башенка,3
башенный,2
башка,4
башкир,4
башкирский,4
башлык,2
башмак,9
башмачок,7
башня,120
баюкать,4
баян,9
баянист,1
бдительно,1
бдительность,1
бег,39
бегать,100
бегемот,10
бегемотик,1
беглец,2
бегло,1
беглый,7
бегов,4
беговой,4
бегом,9
беготня,2
бегство,7
бегун,9
беда,76
беднеть,2
бедность,10
беднота,2
бедный,82
бедняга,5
бедняжка,11
бедняк,13
бедовый,1
бедокурить,1
бедро,3
бедствие,14
бежать,280
беженец,2
безбедно,1
безбожник,1
безбоязненно,1
безвестный,5
безветренный,1
безветрие,1
безвозвратно,3
безволосый,1
безвредный,1
безвыходный,1
безглавый,1
безглазый,1
безгласный,2
безграмотный,2
безграничный,2
бездарный,2
бездейственный,1
безделушка,2
безделье,4
бездельник,1
бездельничать,6
бездна,8
бездомный,1
бездонный,3
бездорожье,1
бездумно,3
бездушный,1
бездымно,1
бездыханный,3
безжалостно,4
безжалостный,6
безжизненно,1
безжизненный,4
беззаботно,4
беззаботный,2
беззаветный,1
беззаконие,2
беззаконновах,1
беззаконноваш,1
беззаконный,1
беззащитный,4
беззвездный,1
беззвучно,4
беззвучный,1
беззлобно,1
беззубка,4
беззубый,2
безлесный,7
безлунный,1
безлюдно,1
безлюдный,1
безлюдье,1
безмолвие,6
безмолвно,2
безмолвный,16
безмятежно,2
безмятежный,2
безнадежно,3
безнадежный,1
безнаказанно,1
безнаказанный,1
безногий,1
безобидно,2
безобидность,1
безобидный,10
безоблачный,8
безобразие,8
безобразно,2
безобразный,6
безопасно,3
безопасность,22
безопасный,24
безоружный,1
безостановочно,1
безответный,1
безответственный,3
безотрадный,1
безотчетно,1
безошибочно,9
безошибочный,3
безразличный,2
безрассудно,1
безрассудный,1
безрассудство,1
безрогий,1
безродный,1
безударный,275
безудержно,1
безукоризненный,1
безумие,3
безумный,10
безумство,1
безумствовать,1
безупречный,1
безусловно,3
безуспешно,5
безуспешный,2
безусый,2
безутешный,2
безучастно,1
безыменный,4
безымянный,3
безысходный,1
бейдер,1
бейсболка,1
бек,18
бекас,1
бекасинник,1
бекбыть,1
бел,3
бела,2
белена,1
беленький,7
белесоватый,1
белесый,1
белеть,15
белизна,9
белила,13
белильный,4
белить,4
беличий,5
белка,27
белобокий,1
белобровик,1
белобрысый,1
беловатый,1
белоголовый,1
белогрудый,1
белок,38
белокаменный,9
белокрылый,1
белокурый,3
беломорье,1
белоозеро,1
белорус,3
белорусский,3
белоснежный,13
белоствольный,5
белоус,6
белохвост,1
белочка,13
белуга,1
белый,509
белье,15
бельевая,1
бельмо,3
бельчонок,2
бельэтаж,1
беляк,6
белянка,1
бензин,66
бензозаправщик,1
бензоколонка,3
бенц,1
бенч,2
бергамот,1
берег,329
береговой,6
бережливый,5
бережно,42
бережный,7
бережок,5
береза,126
березка,32
березничка,1
березняк,3
березовый,49
березонька,8
беременный,4
бересклет,1
берест,23
берестяной,29
беречь,70
беречься,9
берингов,1
берковец,1
беркут,2
берлога,14
бес,8
беседа,43
беседка,10
беседовать,22
бесенок,1
бесеныш,1
бесить,4
беситься,1
бескозырка,1
бесконечно,7
бесконечность,1
бесконечный,26
бескорыстный,2
бескрайний,17
бескрокодильный,3
бесноваться,5
бесные,1
бесова,1
бесовский,1
беспамятство,1
бесперечь,1
беспечный,2
беспилотный,2
бесплатно,9
бесплатность,1
бесплатный,9
бесплодный,4
бесплотный,1
беспозвоночный,2
беспокоить,13
беспокоиться,27
беспокойно,9
беспокойный,16
беспокойство,10
бесполезно,3
бесполезный,4
беспомощно,1
беспомощность,4
беспомощный,7
беспорядок,9
беспорядочно,3
беспорядочный,2
беспосадочный,1
беспощадно,3
беспощадный,8
беспредельно,1
беспредельный,1
беспрекословно,3
беспрерывно,2
беспрерывный,2
беспрестанно,4
беспрестанный,2
беспризорник,1
беспризорный,1
беспримерный,2
беспроводный,1
беспроволочный,2
бессарабский,1
бессвязно,1
бессвязный,1
бессердечный,3
бессилие,2
бессильно,1
бессильный,6
бесславный,1
бесследно,5
бессменно,1
бессмертный,5
бессмысленный,4
бессмыслица,1
бессовестный,1
бессознательно,3
бессонница,6
бессонно,1
бессонный,3
бесстрашие,3
бесстрашно,2
бесстрашный,6
бесстыдник,1
бесстыдница,2
бесстыжий,2
бестактно,1
бестолковый,6
бестрепетно,2
бесформенный,4
бесцветный,6
бесцельно,1
бесцельный,1
бесценный,19
бесценок,1
бесцеремонный,1
бесчеловечный,2
бесчестный,2
бесчисленный,10
бесчувственный,2
бесшабашный,1
бесшерстный,1
бесшумно,28
бесшумный,1
бета,1
бетленг,7
бетон,7
бетонный,2
бечевка,5
бешено,3
бешенство,7
бешеный,21
биатлон,1
библейский,1
библио,1
библиограф,1
библиография,2
библион,1
библиотека,118
библиотекарь,5
библиотечный,5
библиофил,1
библия,1
бивать,2
бивень,1
биг,1
биговка,5
биден,2
бидон,43
биение,2
бижутерия,2
бизнес,3
бизнесмен,1
бизоний,1
бизоновый,6
билет,90
билетик,1
билибина,2
билися,1
биллион,1
бим,3
бинокль,15
бинт,4
биография,6
биолог,1
биологический,4
биология,1
биржа,2
бирюзовый,2
бисер,18
бисерина,12
бисеринка,7
бисквит,4
бисквитный,1
биссектриса,10
битва,110
битком,1
биток,1
битый,8
бить,139
битье,1
биться,31
бич,26
бишь,2
бклеть,1
бкм,1
бла,1
благо,7
благовест,1
благовещенский,2
благоволение,1
благовонный,1
благовоспитанность,1
благовоспитанный,1
благодарить,20
благодарно,2
благодарность,20
благодарный,7
благодарственный,1
благодатный,7
благодать,1
благодеяние,1
благодушный,1
благой,2
благообразный,2
благополучие,6
благополучно,12
благоприятный,15
благоприятствовать,1
благоразумно,2
благоразумный,3
благородно,1
благородный,15
благородство,7
благосклонно,1
благосклонный,2
благословение,5
благословить,8
благословлять,2
благостный,1
благостыня,1
благоухание,8
благоуханный,2
благоухать,3
благочестивейший,1
благочестивый,1
блажа,1
блаженная,2
блаженный,10
блаженство,5
блажной,1
бледнеть,5
бледно,7
бледнолицый,1
бледность,1
бледный,24
блеклый,1
блекнуть,1
блеск,25
блеснуть,8
блестеть,49
блестка,9
блестяще,2
блестящий,45
блефуск,2
блефускуанский,1
блеяние,1
блеять,4
ближний,25
близиться,1
близкие,17
близкий,196
близко,67
близлежащий,1
близость,2
блик,2
блин,13
блиндаж,41
блистательно,1
блистать,19
блиц,12
блицтурнир,12
блог,1
блок,125
блокада,8
блокадный,3
блокнот,27
блоха,1
блудный,1
блудовый,4
блуждание,1
блуждать,5
блузка,6
блюдечко,10
блюдо,42
блюдце,12
бляшка,1
бмм,1
боб,5
бобер,29
бобик,11
бобина,3
бобок,1
бобренок,12
бобров,2
бобровый,1
боброк,1
бобылка,1
бог,193
богаевский,1
богатеть,4
богато,7
богатсвый,1
богатство,83
богатый,143
богатырский,19
богатырь,63
богач,3
богиня,19
богов,2
богоданный,1
боголюбский,1
богоматерь,3
богомол,6
богомолье,2
богородица,14
богородский,1
богословский,1
богослужебный,1
богослужение,3
бодать,2
бодаться,3
боднуть,1
бодрить,2
бодриться,1
бодро,4
бодрость,1
бодрствовать,3
бодрый,4
бодрящий,1
бодяга,1
боевой,56
боеприпас,9
боец,18
божественный,3
божество,7
божий,61
бой,174
бойкенький,1
бойкий,10
бойко,2
бойница,3
бойня,1
бойчиться,1
бок,60
бокал,4
бокастый,1
боков,10
боковинк,2
боковой,26
боком,9
бокра,2
бокренок,2
бокс,3
боксер,7
болгарин,1
болгарский,3
боле,10
болевой,1
болезненно,3
болезненный,5
болезнетворный,5
болезние,1
болезнь,35
болельщик,2
болеть,30
боливар,2
болонка,2
болонский,1
болотистый,10
болотный,30
болото,136
болотце,3
болт,6
болтать,17
болтаться,13
болтливый,1
болтовня,4
болтунья,1
боль,65
больница,18
больно,47
больной,54
большевик,23
большеглазый,1
большеголовый,3
большегрузный,2
большеносый,1
больший,647
большинство,57
большой,830
большущий,4
бом,8
бомба,8
бомбардировка,1
бомбардировщик,1
бомбежка,2
бомбить,3
бонбоньерка,1
бондарить,1
бондарство,1
бор,5
бора,19
боратный,1
бординга,1
бордо,1
бордосский,1
бордюр,1
борец,2
борзая,2
борзой,1
борзый,2
борин,8
борина,1
бормотание,5
бормотать,22
борный,2
боровик,4
боровиков,3
боровинка,1
боровицкий,2
борода,60
бородавка,3
бородатый,12
бородицкий,2
бородка,9
борозда,8
бороздка,1
боронить,1
боронование,1
бороться,32
борт,19
бортик,4
бортник,1
бортничество,3
борщ,2
борьба,57
босиком,6
босой,23
босоногий,1
босый,1
бот,4
ботаника,1
ботанический,6
ботва,8
ботик,1
ботинок,26
боткать,1
ботфорт,2
бочаять,1
бочка,53
бочкообразный,2
бочонок,25
бочоночек,1
боязливо,6
боязливый,3
боязние,2
боязно,3
боязнь,3
бояр,3
боярин,40
боярский,13
бояться,173
бравый,3
брага,1
брада,2
брадатый,1
бражник,3
бразда,2
бразильский,1
брайена,3
брак,2
браконьер,5
браконьерство,7
брамин,2
брандахлыст,1
брандашмыга,2
бранить,6
браниться,2
бранный,7
бранчивый,1
браный,1
брань,10
браслет,11
брасс,1
брат,283
братец,52
братик,2
братишка,7
братия,1
браток,1
братский,6
брать,118
браться,10
браузер,10
брацкий,1
брачный,2
брашно,1
бревенчатый,9
бревно,61
бревнушко,1
бревнышко,1
брег,7
бред,1
бреда,2
бредить,2
брезгливость,1
брезгливый,2
брезговать,1
брезент,4
брезентовый,5
брезжить,2
брелок,2
бременский,1
бремя,2
бренникнуть,1
бренный,1
бренчать,2
брести,10
брестский,2
брехнуть,1
брешь,3
бригада,83
бридж,1
бриллиант,3
бриллиантовый,4
британский,1
бритва,4
бритый,3
брить,12
бритье,4
бриться,2
бричка,2
бровастый,1
бровка,3
бровь,38
брод,8
бродить,47
бродяга,3
бродячий,6
бронебойный,2
броневик,1
броненосец,2
бронестекло,1
бронетанковый,2
бронзовый,9
бронник,1
бронх,2
бронь,1
броня,2
бросать,43
бросаться,24
бросить,115
броситься,99
бросок,7
брошка,1
брошь,9
брошюра,10
брошюровочный,1
брус,4
брусника,13
брусничный,1
брусок,9
бруствер,1
брусчатка,2
брызгало,3
брызгать,1
брызги,4
брызнуть,6
брыкаться,1
брынза,1
брюки,19
брюла,1
брюхо,5
брюшко,5
бубенец,6
бублик,5
бубликовый,1
бубна,1
бубновый,1
бувуга,1
бугор,4
бугорок,2
буд,3
будда,4
буддизм,10
буддистский,1
будильник,12
будить,11
будка,11
будланула,2
будни,4
будний,1
будничность,1
будничный,1
будочник,7
будочница,2
будущее,154
будущий,42
будянска,1
буек,2
бузина,5
буй,1
буйволовый,3
